,0
64,"Koubek suspended after drugs test

Stefan Koubek says he has been banned for three months by the International Tennis Federation (ITF) after testing positive for a banned substance.

The world number 60 failed a routine drugs test at this year's French Open but now plans to lodge an appeal. Koubek believes an injection given to him by an Austrian doctor to treat a wrist injury is to blame for producing traces of the substance in his system. ""I have acted correctly,"" the 27-year-old Austrian said in a statement. Koubek, who defeated Britain's Greg Rusedski in the decisive rubber of the Davis Cup in September, is now set to miss the start of the season. He said, ""A three-month ban would mean that I not only will miss the Australian Open, but also the Davis Cup in Australia.""
"
65,"Hewitt fights back to reach final

Lleyton Hewitt kept his dream of an Australian Open title alive with a four-set win over Andy Roddick in Friday's second semi-final.

The home favourite will face Marat Safin in Sunday's final after coming through 3-6 7-6 (7-3) 7-6 (7-4) 6-1. Hewitt fought back from a set down and trailed in both tie-breaks but would not be denied, thrilling the Melbourne crowd with a typically battling effort. He is aiming to be the first Australian winner since Mark Edmondson in 1976. Hewitt is the first Australian to make the final since Pat Cash lost to Mats Wilander in 1988, but faces a huge challenge against Safin - the conqueror of Roger Federer. After needing five sets in his last two matches there was reason to think Hewitt might struggle for fitness. He certainly made a sluggish start, dropping his opening service game, and Roddick dominated with his huge serve as he took the first set.

After 12 tense games in the second, the key moment came when Hewitt raised his game in the tie-break to overturn an early mini-break. That energised the crowd but Roddick was not finished and raced 4-1 clear in the crucial third before Hewitt pegged him back and forced another tie-break. Again Roddick broke first and again Hewitt fought back, taking the lead with a superb backhand pass.

The Australian was not to be denied and a disheartened Roddick made little impact in the fourth set as Hewitt raced to victory, sending the Melbourne crowd wild and ensuring the final will be a huge occasion. ""It's awesome,"" said Hewitt. ""I started preparing for this tournament nine months ago. ""I've done a lot of hard yards to get here. ""I've always said I'd do anything to get in the first night final at the Australian Open. Now I've got my chance."" Roddick was furious with himself for failing to take advantage of leads in both tie-breaks. ""I'm usually pretty money in those,"" said Roddick. ""Either one of those would have given me a distinct advantage. ""I'm mad, I felt I was in there with a shot. He put himself in position to win big points. I donated a little more than I would have wanted."" And the American played down the influence of one spectator who appeared to contribute to a double fault by shouting during Rodick's service action. ""It just took one jackass to shout out,"" said Roddick, adding that the crowd overall was ""very respectful"".
"
66,"Officials respond in court row

Australian tennis' top official has defended the Australian Open courts at Melbourne Park after criticism of the playing surface by Lleyton Hewitt.

Hewitt said he had had a ""gutful"" of trying to persuade them to make the surface faster but Tennis Australia's Geoff Pollard rejected his comments. ""We did ask for it to be made faster than last year and, to my knowledge, it is faster,"" he said. ""We spent a substantial amount of money on modifications to make it faster."" Hewitt, who has not got past the fourth round at Melbourne in seven attempts, had earlier said the surface was not worthy of such a prestigious tournament. But he said he would play on whatever surface he had to in order to have a chance of winning. The tournament starts on 17 January, and Pollard said the surface had been speeded up since last year's tournament following complaints by several Australian players. But he refused to accept that the Melbourne surface may have had a bearing on Hewitt's performances over the years. ""Lleyton's proving how versatile he is on all surfaces,"" he said. ""It is faster than last year and that'll be faster than the one Lleyton beat Roger Federer on in the Davis Cup in 2003.""
"
67,"Williams battles to Aussie title

Serena Williams staged a remarkable recovery to beat Lindsay Davenport and win her second Australian Open title.

The 2003 champion claimed her seventh Grand Slam title, and her first since Wimbledon in 2003, 2-6 6-3 6-0. Williams had looked close to quitting with a rib injury when she left the court for treatment after five games. She quickly dropped the first set but from 3-3 in the second found another gear as Davenport's game collapsed, allowing Williams to take the title. Williams later explained her injury problem, saying it was the result of lunging for a ball early in the first set. ""Lindsay had me on the run out wide on my backhand and my back went but eventually I was able to come back, thank goodness,"" she said. Davenport paid tribute to Williams, saying: ""She's had a tough couple of years and she's come back like a champion.""

The 23-year-old former world number one was in desperate trouble in the early stages as the injury hampered her service action. Davenport took advantage to race through the opening set and held six break points in game five of the second. ""I kept thinking to myself 'I'm not losing this game,"" said Williams afterwards. ""'I don't care if my arm falls off, I'm not losing this game'. And I guess that's what happened. ""I didn't want to lose that particular game because it would have given her a lot of momentum, and a lot of confidence."" Despite letting the break points slip away Davenport looked comfortable enough at 3-3, but from 40-0 up she just folded. Williams won nine consecutive points for the set and powered through the decider as a lacklustre Davenport looked to have run out of energy after a gruelling two weeks. ""I felt like I was playing well and in control pretty much of the match,"" said Davenport. ""Then I just had that horrible lapse, I think serving up 40-0, and made a few errors and opened up the door for her and she just kept going through it. ""At the end I think I was a little bit fatigued but she took advantage of it and kept going - she's a great frontrunner when she gets going.""
"
68,"Safin cool on Wimbledon

Newly-crowned Australian Open champion Marat Safin has ruled out any chance of winning Wimbledon in the future.

After losing in round one last year, Safin said he had ""given up"" on Wimbledon and winning his second Grand Slam title has not changed his mind. ""I'll play, but with no expectations. I feel like I can't waste my time, my energy on that surface,"" he said. ""Some people, they cannot play on clay. Some people, they cannot play on a hard court. Me, I can't play on grass."" However, Safin is hopeful that winning the Australian Open will give him the belief he needs to win more Grand Slam titles. ""It's a relief for me. Two grand slams, it's already something. But with this one I worked really hard for it,"" he said. ""Basically, I would love to win a couple more. I think I have a chance if I continue this way.

""If (coach) Peter Lundgren will stick around with me and wants to work with me for a bit longer, I think I can make it."" The 25-year-old shocked Pete Sampras in the 2000 US Open final to win his first major title but then lost in two Australian Open finals. Safin admitted he had begun to doubt whether he would win another Grand Slam. ""I didn't expect that (to win the 2000 US Open) - it was against Sampras, I wasn't the favourite so I had no pressure whatsoever,"" he said. ""After the first final that I didn't win against Thomas Johansson (in 2002), I couldn't see myself winning the Grand Slams anymore. ""I was once in the semi-finals of the French Open, but I didn't believe I can win it. ""I just couldn't handle the pressure. You need to believe in yourself, and I didn't.""

And after losing the first set 6-1 to Lleyton Hewitt in Sunday's final, Safin said he began to doubt himself again. ""I am 25. I'm playing against Hewitt. At least you have to have the opportunity to win it, at least have a chance,"" he said. ""It's like you go there and you lose first set 6-1, then you start to think: 'This is not my day. The way I'm playing is ridiculous.' ""But then you start to really be a little bit more selfish and try to find a way out of there. ""And I found it. I was like really much I was much happier than in 2000, that's for sure, because I get over it.""
"
69,"Safin plays down Wimbledon hopes

Newly-crowned Australian Open champion Marat Safin has ruled out any chance of winning Wimbledon in the future.

After losing in round one last year, Safin said he had ""given up"" on Wimbledon and winning his second Grand Slam title has not changed his mind. ""I'll play, but with no expectations. I feel like I can't waste my time, my energy on that surface,"" he said. ""Some people, they cannot play on clay. Some people, they cannot play on a hard court. Me, I can't play on grass."" However, Safin is hopeful that winning the Australian Open will give him the belief he needs to win more Grand Slam titles. ""It's a relief for me. Two grand slams, it's already something. But with this one I worked really hard for it,"" he said. ""Basically, I would love to win a couple more. I think I have a chance if I continue this way.

""If (coach) Peter Lundgren will stick around with me and wants to work with me for a bit longer, I think I can make it."" The 25-year-old shocked Pete Sampras in the 2000 US Open final to win his first major title but then lost in two Australian Open finals. Safin admitted he had begun to doubt whether he would win another Grand Slam. ""I didn't expect that (to win the 2000 US Open) - it was against Sampras, I wasn't the favourite so I had no pressure whatsoever,"" he said. ""After the first final that I didn't win against Thomas Johansson (in 2002), I couldn't see myself winning the Grand Slams anymore. ""I was once in the semi-finals of the French Open, but I didn't believe I can win it. ""I just couldn't handle the pressure. You need to believe in yourself, and I didn't.""

And after losing the first set 6-1 to Lleyton Hewitt in Sunday's final, Safin said he began to doubt himself again. ""I am 25. I'm playing against Hewitt. At least you have to have the opportunity to win it, at least have a chance,"" he said. ""It's like you go there and you lose first set 6-1, then you start to think: 'This is not my day. The way I'm playing is ridiculous.' ""But then you start to really be a little bit more selfish and try to find a way out of there. ""And I found it. I was like really much I was much happier than in 2000, that's for sure, because I get over it.""
"
70,"Nadal puts Spain 2-0 up

Result: Nadal 6-7 (6/8) 6-2 7-6 (8/6) 6-2 Roddick

Spain's Rafael Nadal beats Andy Roddick of the USA in the second singles match rubber of the 2004 Davis Cup final in Seville. Spain lead 1-0 after Carlos Moya beat Mardy Fish in straight sets in the opening match of the tie.

Nadal holds his nerve and the crowd goes wild as Spain go 2-0 up in the tie.

Roddick holds serve to force Nadal to serve for the match but the American surely cannot turn things around now.

Nadal works Roddick around the court on two consecutive points to earn two break points. One is enough, the Spaniard secures the double-break and Roddick is now teetering on the edge.

Roddick is trying to gee himself up but the clay surface is taking its toll on his game and he is looking tired. Nadal wins the game to love.

Nadal steps up the pressure to break and Spain have the early initiative in the fourth set.

Nadal also holds convincingly as both players feel their way into the fourth set.

Roddick shrugs off the disappointment of losing the third-set tiebreak and breezes through his first service game of the fourth set.

Nadal earns the first mini-break in the tiebreak as the match enters its fourth hour. A couple of stunning points follow, one where Nadal chases down a Roddick shot and turns into a passing winner. Then Roddick produces some amazing defence at the net to take the score to 4-4. Roddick has two serves for the set but double-faults to take the score to 5-5. Nadal saves a Roddick set point then earns his own with a drive volley - and a crosscourt passing winner sends the crowd wild.

Nadal tries to up his aggression and he passes Roddick down the line to go 15-40 and two set points up. Roddick saves the first with a desperate lunge volley and smacks a volley winner across the court to take the score back to deuce before securing the game. The set will go to another tiebreak.

Nadal enjoys another straightforward hold and Roddick must once again serve to stay in the set.

Roddick again holds on, despite some brilliant shot-making from his opponent.

Nadal races through his service game to put the pressure straight back onto Roddick.

Roddick hangs in on his serve to level matters but Nadal is making him fight for every point.

Nadal could be suffering a disappointment hangover from the previous game as he goes 0-30 down and then has to save a break point after a tremendous rally in which he is forced into some brilliant defence. But it pays off and the Spaniard edges ahead in the set.

Roddick's serve is not firing as ferociously as usual and has to rely on his sheer competitive determination to stay in the set. Three times, Nadal forces a break point and three times the world number two hangs in. And Roddick's grit pays off as he manages to hold.

Roddick still looks a bit sluggish but he attacks the net and is rewarded with a break point, which Nadal saves with a good first serve and the Spaniard goes on to hold.

There is a disruption in play as Roddick is upset about something in the crowd. The Spanish captain gets involved as does the match referee but it is unclear what the problem is. One thing for certain is that the crowd are roused into support of Nadal and they go wild when Roddick loses the next point and goes break point down. Roddick saves the break point and then bangs down his ninth ace before clinching the game with a service winner.

The game passes the two-hour mark as Nadal holds serve to edge ahead in the third set.

Now Roddick has to defend a break point and he produces a characteristic ace to save it. It is immediately followed by another and he holds with a little dinked half-volley winner.

Roddick is looking a little leaden-footed but does carve out a break point for himself. But he plays it poorly and Nadal avoids the danger.

Roddick has gone off the boil and again struggles. He fails to get down properly for a low forehand volley and gives Nadal three break points. The American blasts an ace to save one but follows up with a double fault and the rubber is level.

Nadal edges towards taking the second set with a comfortable hold.

Two good serves put Roddick 30-0 up but he then makes a couple of errors to find himself 30-40 down. He saves the break point with an ace and then manages to hold.

Roddick's level has dropped while Nadal is on a hot streak. The Spaniard includes a superb crosscourt winner off the back foot as he races through his service game without dropping a point.

Roddick double-faults twice and Nadal takes full advantage of the break point offered, powering a passing winner past Roddick.

Nadal wins another tight game. Neither player has dipped from the high standard of play in the first set.

Nadal puts the American under pressure and Roddick saves a break point with a superb stop volley before going on to hold.

Nadal puts the disappointment of losing the first-set tiebreak to claim the opening game in the second.

Roddick double-faults to concede the first mini-break and then Nadal loops a crosscourt winner to seize advantage in the tiebreak. He lets one slip but wins his next serve to earn three set points. But Roddick saves them and then earns one himself. Nadal comes up with a down-the-line winner but then nets tamely on Roddick's next set point.

Nadal's nerve is tested as he tries to force a tiebreak. Both players come up with some scintillating tennis and the Spaniard has several chances to clinch the game before finally doing so when Roddick drives wide.

A pulsating game sees Nadal racing round the court retrieving and refusing to give Roddick any easy points. The point of the match so far involves Roddick's slam-dunk smash being returned by Nadal before Roddick finally manages to end the rally. On the very next point, Nadal blasts a forehand service return from right of court that passes Roddick and even the American is forced to applaud. But Roddick comes up with two big serves to polish off the game.

Nadal outplays Roddick to reach 40-0 but the American fights back to 40-30 before Nadal's powerful crosscourt forehand winner secures the game.

The crowd are getting very involved, cheering between Roddick's first and second serves. But the American comes through to hold and edge ahead in the set.

Nadal manages to hold again despite Roddick piling the pressure on his serve. The Spaniard wins the game courtesy of another lucky net cord.

Roddick double faults buts manages to keep his composure. A well-placed serve is unreturnable and Roddick holds.

A powerful ace down the middle gives Nadal a simple love service game - the first time he has held serve so far in the match. If Roddick didn't know before, he knows now that he is in a real contest.

Another superb game as Nadal breaks to once again lift the roof. He produces some fine groundstrokes to leave Roddick chasing shadows. Four of the first five games have seen a break of serve.

Despite the disappointment of losing his serve, Roddick is not phased and storms into a 40-15 lead when the umpire leaves his seat to confirm a close line-call. Nadal takes the next point but Roddick breaks again with a sharp volley at the net.

Roddick's advantage is short lived as Nadal breaks back immediately. A fortunate net cord helps the Spaniard on his way and when Roddick fires a forehand cross court shot wide to lose his serve, Nadal pumps his fist in celebration.

The American is pumped up for this clash and takes on Nadal's serve from the start. Nadal's drop shot is agonisingly called out and Roddick claims the vital first break.

After Moya's win in the opening rubber, a raucous Seville crowd is buoyed by Nadal's impressive start which sees him race into a 30-0 lead. However Roddick fights back to hold his serve.
"
71,"Henman & Murray claim LTA awards

Tim Henman was named player of the year for 2004 by the Lawn Tennis Association at Wimbledon on Monday.

The Briton was recognised for the best year of his career, which saw him reach the semis at the French and US Opens. Scotland's Andrew Murray was named young player of the year after winning the US Open juniors, as well as a Futures event in Italy. And world number one Peter Norfolk won disabled player of the year after claiming his third US Open crown.

Great Britain's under 14 boys won the team of the year prize for their victory at the World Junior Tennis event in August. Henman will start his 2005 campaign at the Kooyong event on 12 January in a field that includes Roger Federer, Andy Roddick and Andre Agassi. And the Briton is optimistic of surpassing his best effort of a fourth-round place at the Australian Open, which begins the following week. ""I've often felt that the conditions suit my game in Melbourne so I'd love to be able to start next year by doing well at the Australian Open,"" Henman told his website. ""That's why I've changed my schedule slightly by committing to play in the Kooyong Classic. ""I'll be able to acclimatise while practising before the event and then will be guaranteed matches against the best players in the world. ""I think that will give me the best possible chance of doing well at the Australian Open.""
"
72,"Connors' rallying cry for British tennis

""Do you have it in your heart? How much guts do you have? How much do you hate to lose?""

These are the questions Jimmy Connors will be asking of Britain's brightest tennis hopes in the months, and possibly years, to come. The American legend swept into London on Thursday to announce a ""long-term"" relationship with the Lawn Tennis Association after spending three days at the Elite Performance winter camp in La Manga. And the man who epitomised the phrase 'will to win' before Lleyton Hewitt was even born is clear about the qualities he hopes to convey. ""You know, everybody hits the ball well and there's a very fine line between number one and number 100,"" said Connors. ""I was that fine line for a long time. But if I can help, I want to be part of teaching kids how to win.""

Connors is not the first great name to offer his services to the LTA - his long-time rival John McEnroe has repeatedly done the same. But Connors is at pains to point out that his interest goes well beyond any publicity stunt, and he gave a glowing recommendation to the work of LTA performance director David Felgate and his team. ""Britain has a different attitude, the right attitude, in taking the game forward and finding the next Wimbledon champion,"" said Connors. ""That's something you don't find every day. Everybody talks a good game but not everybody puts that into effect. ""The impression I came away with after just seeing David and the other coaches for three days was one like I've never seen before, especially over here. ""This is not going to happen overnight, there are no miracle workers, but you're going in the right direction."" The 52-year-old's enthusiasm for the work going on in this country is in marked contrast to his relationship with tennis officials back in America. ""I've had discussions with the USTA (United States Tennis Association) over a number of years,"" he said. ""That's where it (my input) ended."" Connors is a straight-talker and will be equally blunt and honest in his dealings with the LTA and the cream of Britain's young players. ""If they're chosen, they've got to produce,"" he said.

""If not, someone will come and take their place. There's only one number one spot and it's lonely up there, but it's got the best view."" In the year that has seen Andrew Murray emerge as Britain's great new hope, Connors rejected suggestions that the Scot might be put under too much pressure too soon. ""Tim Henman has a whole country on his shoulder,"" said Connors. ""I don't know that pressure, but if you like that it can be a certain push to get on to the next level. ""Someone's going to have to come and take over from him (Henman). If I was Andrew Murray, I'd embrace that. That's what we play for."" Despite the emphasis on hard work, training and preparation, Connors does admit that the desire required of a champion has to come from within. ""The passion I had, I don't know if you can find that,"" he admitted. ""I was also nuts. I say that because there was nothing better for me than to compete on the tennis court. ""It was the most important thing in the world for me, and to do that something's got to be not right with you. There was nothing better for me ever than to play tennis in front of 25,000 people. ""What I had when I played tennis is what I am. You have to have that, you can't be moulded.""
"
73,"Roche 'turns down Federer offer'

Australian tennis coach Tony Roche has turned down an approach from Roger Federer to be the world number one's new full-time coach, say reports.

Melbourne's Herald-Sun said Roche, troubled by a hip complaint, did not want to travel full-time again. However, Roche is happy to work with the Swiss star on a casual basis and is helping him prepare for next month's defence of his Australian Open crown. Federer has been without a coach since splitting with Peter Lundgren in 2003. Roche, a former Davis Cup player for Australia, won the French Open, reached the Wimbledon and US Open finals and won five Wimbledon doubles titles with John Newcombe.

He also coached former number one Ivan Lendl and Pat Rafter to Grand Slam victories and has worked with Australia's Lleyton Hewitt. Some reports claim Federer initially wanted Andre Agassi's Australian coach Darren Cahill, before Agassi confirmed he would play on in 2005. Federer was named Swiss sportsman of the year on Saturday, to add to the BBC overseas sportsman and European Sports Journalists Association awards he has already won.
"
74,"Federer joins all-time greats

The last year has seen one player dominate men's tennis, and one country dominate the women's game.

Roger Federer became the first man since Mats Wilander in 1988 to win three Grand Slams in one season. And after Anastasia Myskina became the first Russian woman to win a Grand Slam at the French Open, two more followed at Wimbledon and the US Open. Meanwhile, Briton Tim Henman enjoyed his best year, while Greg Rusedski fought back superbly from adversity. Federer began the year as world number one and holder of the Wimbledon and Masters Cup titles, and set about conquering new ground. The Swiss sounded warning of the dominance to come at the Australian Open.

He ripped through the draw before beating Marat Safin in the final. Andy Roddick was the only player to put up any real resistance at Wimbledon, and Federer's performance against Lleyton Hewitt in the US Open final was breathtaking. Federer again got the better of Hewitt in the season-ending Masters Cup. His victory in Houston proved to be his 13th successive win in a final, an Open era record. The only major let-down was a third-round loss to Gustavo Kuerten at the French Open, and Roland Garros will be his main target in 2005.

There was also a surprise loss to the unheralded Tomas Berdych at the Olympic Games, which saw Chile dominate as Nicoals Massu took the singles and then paired up with Fernando Gonzaelz to win doubles gold. Another major trophy that looks beyond Federer is the Davis Cup, which was won by Spain in a 3-2 home success over the USA in Seville. Roddick struggled on the clay, losing to Rafael Nadal on the opening day before going down to Carlos Moya in the all-important fourth rubber.

Henman broke new ground by reaching the semis on clay at the French Open - a stunning effort - and also at the US Open. A quarter-final defeat to Mario Ancic at Wimbledon was disappointing for the limp manner of the Briton's defeat, but he remains optimistic of going further next year.

British number two Rusedski endured a rollercoaster year, returning to the circuit after being cleared of a doping offence in March. With his ranking down at 168, many feared the 31-year-old's career was over, but he battled back in the second half of the season to re-enter the top 50. The Russian women finally delivered on their long-recognised promise in 2004, with Myskina, Maria Sharapova and Svetlana Kuznetsova winning Grand Slams, before taking the season-ending Fed Cup. But while the young Russians were on the way up, it was a different story for the Belgians and the Williams sisters. Only veteran Lindsay Davenport held the new wave at bay, a stunning run of form after Wimbledon taking her to number one ahead of Amelie Mauresmo, whose Grand Slam drought goes on. The year started in regulation fashion as Justine Henin-Hardenne beat compatriot Kim Clijsters at the Australian Open.

A virus ruined the rest of Henin-Hardenne's year, although she was fit enough to win Olympic gold, but Clijsters had an even more miserable 2004. She suffered a serious wrist injury and then announced the end of her relationship with Lleyton Hewitt, and will be happy to see the year end. In their absence, Myskina thrashed Elena Dementieva in a historic, but woeful, all-Russian final at the French Open. Wimbledon was a more refreshing affair as Sharapova captivated SW19, showing nerves of steel as she battled past Davenport and Serena Williams to take the title.

Davenport was a strong favourite for the US Open but, hampered by injury, lost to the powerful and unflappable Kuznetsova in the semis. Kuznetsova went on to give Dementieva another Grand Slam final thrashing, with the latter's wayward serve becoming one of the talking points of the year. With the Russians still improving, the likes of Henin-Hardenne, Clijsters, Davenport, Mauresmo, Venus and Serena will need to be fully fit and motivated in 2005. And it may take their compatriot Safin to challenge Federer on the men's side.
"
75,"Philippoussis doubt over Open bid

Mark Philippoussis is almost certain to miss the Australian Open after suffering a groin injury during the Hopman Cup loss to the Netherlands.

The 28-year-old suffered two tears to the adductor muscle and was unable to play in the deciding mixed doubles. He is now unlikely to be fit in time for the Australian Open which begins on 17 January in Melbourne. ""He has to strengthen it enough to cope with repetitive days of tennis,"" said Hopman Cup doctor Hamish Osborne. ""It would be very unlikely in my opinion for him to do a five-setter once, let alone two days in a row, inside two weeks.

""The injury is more common in Australian Rules football, and a fit footballer would normally take three to four weeks to recover fully although Mark's injury is slightly different."" The Australian has suffered a host of injury problems throughout his career but is still holding out slim hope that he can make the event. ""It's something I'll have to go by feel. I'll start treatment as soon as possible and try to strengthen it without tearing it any more,"" he said. ""What doesn't kill you makes you stronger. I know I can come back from this and that's all that matters.

- Former world number two Tommy Haas is also a doubt for the Australian Open after picking up a thigh injury playing for Germany in the Hopman Cup. The 26-year-old had treatment on his left thigh while leading Argentine Guillermo Coria 7-5 2-2. He played one more game, but his movement was hampered and he quit.
"
76,"Slovakia reach Hopman Cup final

Slovakia will play Argentina in the final of the Hopman Cup after beating Group B rivals the Netherlands 3-0.

Daniela Hantuchova defeated Michaella Krajicek 6-4 6-2 to give the Slovaks the perfect start before Dutchman Peter Wessels retired against Dominik Hrbaty. Wessels was unable to compete in the mixed doubles but Slovakia had already booked their place in the final for the second year running. Argentina claimed top spot in Group A with three wins from three matches. In the other Group B match, the United States defeated Australia 2-1.

Meghann Shaughnessy lost the opening match against Alicia Molik but James Blake levelled the tie with a 6-3 6-4 win over Paul Baccanello, who came in as a replacement for the injured Mark Philippoussis. Blake and Shaughnessy then beat Molik and Baccanello in a tense mixed doubles contest to take the win. Hantuchova, who did not win a Hopman Cup singles match in 2004, has been in good form during this year's event and has won two of her three matches. ""I feel like it's really deserved this time as I've helped Dominik to get through,"" she said. ""I think if I keep going the way I have been in the past few matches then I will be okay. ""I was really pleased with my last two singles, even the first one, which was a really high standard. ""You can't ask for a better preparation than to play a few matches here for the Australian Open.""
"
77,"Dent continues Adelaide progress

American Taylor Dent reached the final of the Australian hardcourt event in Adelaide with a crushing 6-1 6-1 win over Argentine Juan Ignacio Chela.

Dent will meet Swede Joachim Johansson on Sunday after the second seed survived a tense tie-break to defeat Belgium's Olivier Rochus 6-1 7-6 (7/5). Johansson, the boyfriend of Lleyton Hewitt's sister Jaslyn, received strong crowd support on Saturday. ""It feels like home for me, because Jaslyn lives here,"" said Johansson. Rochus was leading 5-4 in the second set tiebreak but his concentration was ruffled by a disputed line call and the match slipped away. ""It was so close - one mistake like this and the match is over, it's tough. For me, it was clearly out,"" Rochus said.
"
78,"Moya sidesteps Davis Cup in 2005

Carlos Moya has chosen not to help Spain try and defend the Davis Cup crown they won in Seville in November.

Moya led Spain to victory over the USA but wants to focus on the Grand Slams in 2005, although insists he will return to the Davis Cup in 2006. ""After two years of total commitment with the Davis Cup team... I have taken this difficult decision to concentrate on the regular circuit,"" said Moya. ""They know that after this season they can count on me again if they so wish."" The 1998 French Open champion is determined to make an impact in the major events after spending much of the last eight years in the top 10. ""At the age of 29 I have set some tough goals in my professional career and this season I need to fix my objectives on specific dates and tournaments,"" he said. ""Since the Davis Cup in Seville I have been working on my condition as well as technical and medical aspects of my game which will allow me to come into the big events of the year in top form.""

Moya began 2005 with victory in the Chennai Open on Sunday.
"
